"actor","actorid","films","quality_class","is_active","current_year"
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)""}","average",True,1974
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)""}","average",False,1975
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)""}","bad",True,1976
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)""}","average",True,1977
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)""}","average",False,1978
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)""}","average",False,1979
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)""}","average",False,1980
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",True,1981
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,1982
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,1983
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,1984
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,1985
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,1986
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,1987
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,1988
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,1989
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,1990
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,1991
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,1992
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,1993
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,1994
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,1995
"Fred Astaire","nm0000001","{""(\""The Towering Inferno\"",39888,7,tt0072308)"",""(\""The Amazing Dobermans\"",369,5.3,tt0074130)"",""(\""The Purple Taxi\"",533,6.6,tt0076851)"",""(\""Ghost Story\"",7731,6.3,tt0082449)""}","average",False,1996
