"actor","actorid","quality_class","is_active","start_date","end_date","current_year"
"Roger Corman","nm0000339","bad",False,2001,2002,2002
"Frankie Avalon","nm0000811","bad",False,1983,1986,1986
"Brent Spiner","nm0000653","good",True,2004,2004,2004
"Mathilda May","nm0000528","bad",True,1984,1986,1986
"Keir Dullea","nm0001158","bad",False,1983,1983,1983
"Joey Lauren Adams","nm0000725","bad",False,2005,2005,2005
"Tippi Hedren","nm0001335","bad",True,1994,1994,1994
"Harvey Keitel","nm0000172","bad",False,1981,1981,1981
"Maggie Cheung","nm0001041","bad",True,2000,2000,2000
"Katharine Hepburn","nm0000031","average",True,1971,1971,1971
"Bob Balaban","nm0000837","average",False,1982,1983,1983
"Dabney Coleman","nm0001056","average",True,1990,1990,1990
"Rene Russo","nm0000623","average",True,1998,1999,1999
"Jami Gertz","nm0000415","bad",False,1982,1983,1983
"Mia Farrow","nm0001201","good",True,1992,1992,1992
"Ethan Hawke","nm0000160","good",True,2014,2014,2014
"Clint Eastwood","nm0000142","average",False,2013,2013,2013
"Charles Grodin","nm0001301","bad",True,1981,1981,1981
"James Garner","nm0001258","average",False,1986,1987,1987
"Brenda Blethyn","nm0000950","bad",True,2014,2014,2014
"Michael Douglas","nm0000140","bad",True,1980,1980,1980
"Patricia Arquette","nm0000099","average",False,2007,2011,2011
"James Stewart","nm0000071","good",True,1976,1976,1976
"Lesley Ann Warren","nm0000690","bad",True,1981,1981,1981
"Wesley Snipes","nm0000648","average",False,2010,2010,2010
"Ben Gazzara","nm0001262","average",True,1999,1999,1999
"David Bowie","nm0000309","average",False,1997,1997,1997
"Majel Barrett","nm0000854","bad",True,1977,1977,1977
"Greg Kinnear","nm0001427","average",False,2009,2009,2009
"Susan George","nm0001265","average",False,1973,1973,1973
"Nick Nolte","nm0000560","average",True,2012,2013,2013
"Burt Lancaster","nm0000044","average",True,1986,1986,1986
"Monica Bellucci","nm0000899","average",True,2007,2007,2007
"Bruce Willis","nm0000246","average",True,2001,2001,2001
"Stockard Channing","nm0000330","bad",False,1980,1981,1981
"Terry Gilliam","nm0000416","good",False,1984,1984,1984
"Charlie Sheen","nm0000221","average",True,1993,1993,1993
"Bridget Fonda","nm0000403","bad",True,1995,1995,1995
"Deborah Kara Unger","nm0000679","bad",False,1995,1995,1995
"Charles Bronson","nm0000314","bad",True,1994,1994,1994
"Tim Robbins","nm0000209","average",True,1994,1994,1994
"Madonna","nm0000187","average",False,1997,1999,1999
"John Lithgow","nm0001475","average",True,2000,2000,2000
"Brenda Blethyn","nm0000950","bad",False,2012,2013,2013
"Dana Carvey","nm0001022","average",False,1991,1991,1991
"Stephen Fry","nm0000410","good",True,2011,2011,2011
"Parker Posey","nm0000205","good",True,1993,1993,1993
"Jennifer Connelly","nm0000124","good",True,1986,1986,1986
"Johnny Depp","nm0000136","good",True,2003,2003,2003
"Ray Liotta","nm0000501","average",False,1993,1993,1993
"Alfred Hitchcock","nm0000033","good",False,1973,1975,1975
"Charlize Theron","nm0000234","bad",True,1995,1995,1995
"Paul Reubens","nm0000607","average",False,1989,1991,1991
"Michael Mann","nm0000520","good",True,2015,2015,2015
"Catherine Deneuve","nm0000366","average",True,1974,1979,1979
"Maria Conchita Alonso","nm0000744","bad",False,2016,2016,2016
"Annabeth Gish","nm0001272","average",True,2017,2017,2017
"George Lucas","nm0000184","good",True,1997,1997,1997
"Dan Aykroyd","nm0000101","bad",False,2005,2006,2006
"Jennifer Lopez","nm0000182","bad",True,2006,2006,2006
"Tommy Lee Jones","nm0000169","average",True,2002,2003,2003
"Denzel Washington","nm0000243","average",True,1996,1996,1996
"Jamie Lee Curtis","nm0000130","bad",True,1998,2000,2000
"Jared Leto","nm0001467","good",True,2013,2013,2013
"Sean Patrick Flanery","nm0001218","average",True,2009,2010,2010
